City,Latitude,Longitude,Color
Galway City|@|Ireland,53.28,-9.01,red
Jiancaoping|Shanxi|China,38.01,112.44,red
Weicheng|Shaanxi|China,34.33,108.71,blue
Richland|Washington|United States,46.33,-119.26,red
Santa Maria|Rio Grande do Sul|Brazil,-29.68,-53.81,red
Ife|Osun|Nigeria,7.52,4.52,red
Nanning|Guangxi|China,22.84,108.3,red
Chiayi|Taiwan Province|Taiwan,23.48,120.44,red
Philadelphia|Mississippi|United States,32.77,-89.12,red
Dhahran|Eastern Province|Saudi Arabia,26.31,50.14,red
Tsu|@|Japan,34.76,136.49,red
Richmondshire|England|United Kingdom,54.47,-1.62,red
Jackson|Mississippi|United States,32.33,-90.16,blue
Alexandria|Alexandria|Egypt,31.21,29.91,red
Arlington|Virginia|United States,38.87,-77.06,red
Kansas City|Missouri|United States,39.08,-94.58,red
Aalborg|North Denmark Region|Denmark,57.04,9.91,red
Siena|Tuscany|Italy,43.32,11.33,blue
